#value 	 prob
100000 	 0.000000 
210000 	 0.240146 
320000 	 0.000000 
430000 	 0.003639 
540000 	 0.084900 
650000 	 0.000000 
760000 	 0.127956 
870000 	 0.000000 
980000 	 0.115221 
1090000 	 0.000000 
1200000 	 0.146756 
1310000 	 0.070346 
1420000 	 0.000000 
1530000 	 0.000000 
1640000 	 0.039418 
1750000 	 0.000000 
1860000 	 0.000000 
1970000 	 0.066101 
2080000 	 0.000000 
2190000 	 0.000000 
2300000 	 0.062462 
2410000 	 0.000000 
2520000 	 0.000000 
2630000 	 0.000000 
2740000 	 0.000000 
2850000 	 0.024864 
2960000 	 0.000000 
3070000 	 0.000000 
3180000 	 0.000000 
3290000 	 0.000000 
3400000 	 0.018193 
